Original_X,Original_Y,Migracion_X,Migracion_Y
-75.01392060126058,-7.7333942949692425,-75.0147649183416,-7.729733568319614
-75.0134331273068,-7.731697704630211,-75.01352885730826,-7.725390944856207
-75.012945653353,-7.73000111429118,-75.0122927962749,-7.721048321392799
-75.01245817939922,-7.728304523952149,-75.01105673524157,-7.716705697929391
-75.01197070544542,-7.726607933613118,-75.00924824752687,-7.712570966639668
-75.01148323149162,-7.724911343274086,-75.00740951762359,-7.708447218615617
-75.01099575753784,-7.723214752935055,-75.0055707877203,-7.704323470591566
-75.01050828358404,-7.721518162596024,-75.00373205781702,-7.700199722567515
-75.01002080963026,-7.719821572256993,-75.00208165997347,-7.696011453412177
-75.00953333567647,-7.718124981917962,-75.00100537288834,-7.691626498277463
-75.00904586172267,-7.716428391578931,-74.9999290858032,-7.68724154314275
-75.00855838776889,-7.7147318012399,-74.99885279871806,-7.682856588008036
-75.00807091381509,-7.713035210900869,-74.99801507095371,-7.678428269361163
-75.0075834398613,-7.711338620561837,-74.99747936839069,-7.673945050853544
-75.00709596590751,-7.709642030222806,-74.99694366582767,-7.669461832345926
-75.00660849195371,-7.707945439883775,-74.99640796326464,-7.664978613838307
-75.00612101799993,-7.706248849544743,-74.99657295472086,-7.660500241066946
-75.00563354404613,-7.7045522592057125,-74.9971706115855,-7.656024860446794
-75.00514607009235,-7.702855668866682,-74.99776826845014,-7.651549479826643
-75.00466427954903,-7.701157457496569,-74.99877619021653,-7.647243909382416
-75.00418340816039,-7.699458983963746,-75.00151625711028,-7.643655280279141
-75.00370253677174,-7.697760510430922,-75.00425632400403,-7.640066651175866
-75.0032216653831,-7.696062036898099,-75.00824632969343,-7.6381145367410035
-75.00274079399445,-7.694363563365275,-75.01242950038584,-7.63641532857798
-75.0022599226058,-7.6926650898324525,-75.01661267107824,-7.634716120414957
-75.00177905121716,-7.690966616299629,-75.0209682881871,-7.63373231398521
-75.00129817982851,-7.689268142766806,-75.02546623140923,-7.633338953853004
-75.00081730843986,-7.687569669233983,-75.02960089663715,-7.634907980866423
-75.00033643705122,-7.685871195701159,-75.03365995691958,-7.636885417350001
-74.99985556566257,-7.684172722168336,-75.03771901720202,-7.6388628538335785
-74.99937469427394,-7.682474248635512,-75.04147282556016,-7.641312959363347
-74.9988938228853,-7.680775775102689,-75.04494496915785,-7.644199210263747
-74.99841295149665,-7.6790773015698655,-75.04888939215985,-7.646078687181475
-74.997932080108,-7.6773788280370425,-75.05332850375954,-7.646903619680903
-74.99745120871935,-7.67568035450422,-75.0569142023615,-7.644541735206178
-74.99697033733071,-7.673981880971396,-75.06034696472271,-7.641608755834525
-74.99648946594206,-7.672283407438573,-75.0613096708805,-7.6372716244355905
-74.99627217452374,-7.6705611893995735,-75.06207388893802,-7.632821658572389
-74.99644175459512,-7.668804120182523,-75.0618699618495,-7.628399361061554
-74.99661133466651,-7.667047050965472,-75.06085284999416,-7.624000303333265
-74.99678091473791,-7.665289981748422,-75.05970950747489,-7.619656616637455
-74.9969504948093,-7.663532912531371,-75.05716183068492,-7.6159289406326325
-74.99712007488068,-7.661775843314321,-75.05433665302044,-7.6124980023329005
-74.99728965495207,-7.66001877409727,-75.05044683269816,-7.610205509522987
-74.99745923502346,-7.6582617048802195,-75.0465352685308,-7.607967923469121
-74.99762881509484,-7.656504635663169,-75.04213053973542,-7.606975658553735
-74.99779839516623,-7.654747566446118,-75.03772581094006,-7.60598339363835
-74.99796797523761,-7.652990497229068,-75.03368925040142,-7.6074692940365685
-74.998137555309,-7.651233428012017,-75.02976322533615,-7.609699216145079
-74.99830713538039,-7.649476358794966,-75.0258372002709,-7.611929138253589
-74.99847671545179,-7.647719289577916,-75.02191117520563,-7.614159060362099
-74.99864629552317,-7.6459622203608655,-75.01798515014038,-7.6163889824706095
-74.99959932192057,-7.644632397243307,-75.01420484185637,-7.618848326597167
-75.0009846022026,-7.643538300275794,-75.01051748802584,-7.621454021735044
-75.00236988248464,-7.642444203308281,-75.0068301341953,-7.62405971687292
-75.00375516276668,-7.641350106340767,-75.00314278036477,-7.626665412010796
-75.00514044304872,-7.640256009373254,-74.99945542653424,-7.629271107148672
-75.00652572333075,-7.639161912405741,-74.99576807270371,-7.631876802286548
-75.00791100361279,-7.6380678154382275,-74.99208071887318,-7.6344824974244245
-75.00929628389483,-7.636973718470713,-74.98858825421108,-7.6373430891018605
-75.01068156417686,-7.6358796215032,-74.98510701726565,-7.6402183655673355
-75.0120668444589,-7.634785524535687,-74.98162578032023,-7.643093642032811
-75.01334248278889,-7.633614865535152,-74.97814472197845,-7.645969134162475
-75.01389248850444,-7.631937503514902,-74.9746710812369,-7.648853583056412
-75.01444249421999,-7.630260141494652,-74.97119744049536,-7.65173803195035
-75.01499249993554,-7.628582779474403,-74.96719989570379,-7.653624046152927
-75.0155425056511,-7.626905417454153,-74.96285256782612,-7.6548434582027145
-75.01609251136665,-7.625228055433904,-74.95850523994845,-7.6560628702525015
-75.0166425170822,-7.623550693413653,-74.9540941314164,-7.655533313908354
-75.01719252279777,-7.621873331393403,-74.94966953116622,-7.654633792897344
-75.01774252851332,-7.620195969373154,-74.9456221370913,-7.65270033610322
-75.01829253422888,-7.618518607352904,-74.94165775445698,-7.650539341945023
-75.01884253994443,-7.616841245332655,-74.93839169269614,-7.64758845928727
-75.01902126536035,-7.615152090844107,-74.93576099203766,-7.643918903528254
-75.01857881234933,-7.6134432067148685,-74.93349888563857,-7.640099742674678
-75.01813635933831,-7.6117343225856295,-74.93282793922377,-7.635634761562565
-75.0176939063273,-7.6100254384563915,-74.93215699280896,-7.63116978045045
-75.01725145331629,-7.608316554327153,-74.93325228084113,-7.626872437032266
-75.01680900030527,-7.606607670197915,-74.93475124475374,-7.62261340749354
-75.01636654729425,-7.604898786068677,-74.93761725183344,-7.619564402860563
-75.01592409428324,-7.603189901939439,-74.94166279109392,-7.617559449615446
-75.01548164127223,-7.6014810178102,-74.94570833035438,-7.61555449637033
-75.01503918826121,-7.599772133680962,-74.94975386961485,-7.613549543125213
-75.0145967352502,-7.598063249551724,-74.95379940887531,-7.611544589880096
-75.01415428223918,-7.596354365422486,-74.95784494813579,-7.609539636634979
-75.01371182922817,-7.594645481293248,-74.96189048739625,-7.607534683389863
-75.01326937621715,-7.592936597164009,-74.96593602665672,-7.605529730144746
-75.01282692320613,-7.591227713034771,-74.96998156591718,-7.603524776899629
-75.0125632178022,-7.589493324459732,-74.97402710517765,-7.601519823654512
-75.01251008349605,-7.587728890731979,-74.9780537419159,-7.599481625553263
-75.01245694918993,-7.585964457004227,-74.98184553267565,-7.597030391525786
-75.0124038148838,-7.584200023276475,-74.98563732343538,-7.594579157498309
-75.01235068057765,-7.582435589548722,-74.98942911419512,-7.592127923470832
-75.01229754627153,-7.58067115582097,-74.99322090495485,-7.589676689443355
-75.0122444119654,-7.578906722093217,-74.99701269571459,-7.587225455415878
-75.01219127765926,-7.577142288365465,-75.00080448647432,-7.584774221388401
-75.01213814335313,-7.575377854637712,-75.00443089254708,-7.582139231452184
-75.01286375090315,-7.573792408076712,-75.00726652481974,-7.578625627172056
-75.01368193598985,-7.5722282396720955,-75.0101021570924,-7.575112022891928
-75.01450012107657,-7.570664071267479,-75.01293778936505,-7.5715984186118
